ORDERDATE,PRICE,SALES,CITY,COUNTRY,PRODUCTLINE,CUSTOMERNAME,DEALSIZE,OCCUPATION,ANNUAL_INCOME,MONTH
2020-01-19,711.52,3783.23,New York,Mexico,Electronics,Customer_19,Large,Salesperson,85453.3,1
2020-01-20,42.58,422.62,Dallas,Germany,Electronics,Customer_20,Medium,Teacher,73544.87,1
2020-01-21,303.21,3216.28,Phoenix,UK,Food & Beverage,Customer_21,Medium,Lawyer,191311.88,1
2020-01-22,872.21,877.46,San Diego,USA,Clothing,Customer_22,Small,Student,18426.39,1
2020-01-23,28.14,178.63,Houston,USA,Books,Customer_23,Medium,Accountant,69180.82,1
2020-01-24,549.8,3175.54,San Diego,Mexico,Home & Garden,Customer_24,Large,Salesperson,52038.88,1
2020-01-25,730.55,2965.65,Phoenix,UK,Beauty,Customer_25,Medium,Entrepreneur,102561.85,1
2020-01-26,625.64,2311.3,Philadelphia,USA,Jewelry,Customer_26,Small,Student,19097.39,1
2020-01-27,762.93,2454.01,Philadelphia,Germany,Clothing,Customer_27,Medium,Accountant,64666.35,1
2020-01-28,728.43,3613.65,Philadelphia,USA,Jewelry,Customer_28,Small,Engineer,100979.59,1
2020-01-29,695.11,7084.72,Los Angeles,Mexico,Clothing,Customer_29,Large,Manager,188096.88,1
2020-01-30,823.32,4806.84,San Jose,Mexico,Electronics,Customer_30,Large,Doctor,120896.06,1
2020-01-31,649.23,11081.74,San Jose,UK,Automotive,Customer_31,Medium,Entrepreneur,374120.57,1
2020-02-01,408.39,3272.62,Dallas,USA,Automotive,Customer_32,Small,Engineer,121855.47,2
2020-02-02,477.19,4909.28,San Antonio,UK,Sports,Customer_33,Large,Lawyer,96278.21,2
2020-02-03,719.56,7972.43,Chicago,USA,Books,Customer_34,Medium,Engineer,143031.52,2
2020-02-04,877.54,9044.61,Los Angeles,Canada,Electronics,Customer_35,Large,Manager,143901.39,2
2020-02-05,279.5,588.73,Houston,USA,Clothing,Customer_36,Medium,Lawyer,141833.34,2
2020-02-06,348.66,4320.2,San Diego,Mexico,Beauty,Customer_37,Small,Entrepreneur,390442.36,2
2020-02-07,931.43,6094.13,Dallas,Mexico,Automotive,Customer_38,Medium,Manager,103457.51,2
2020-02-08,582.73,968.33,San Jose,Canada,Jewelry,Customer_39,Large,Teacher,67740.39,2
2020-02-09,187.17,553.34,Los Angeles,USA,Home & Garden,Customer_40,Medium,Doctor,107942.24,2
2020-02-10,667.06,10713.25,Philadelphia,USA,Books,Customer_41,Large,Entrepreneur,427733.62,2
2020-02-11,990.85,5225.85,San Diego,Mexico,Sports,Customer_42,Small,Teacher,57926.83,2
2020-02-12,825.22,6374.05,Chicago,Canada,Automotive,Customer_43,Large,Accountant,94568.5,2
2020-02-13,748.28,10016.99,Dallas,Mexico,Jewelry,Customer_44,Large,Entrepreneur,149557.02,2
2020-02-14,215.97,1499.15,Houston,Canada,Toys,Customer_45,Small,Accountant,97395.16,2
2020-02-15,877.38,6752.42,Phoenix,Mexico,Jewelry,Customer_46,Small,Lawyer,211280.85,2
2020-02-16,530.53,1523.64,San Antonio,Germany,Home & Garden,Customer_47,Medium,Teacher,58928.53,2
2020-02-17,890.4,11148.28,Phoenix,USA,Automotive,Customer_48,Small,Doctor,223545.38,2
2020-02-18,336.53,3081.7,Houston,UK,Home & Garden,Customer_49,Large,Manager,129322.37,2
2020-02-19,71.43,358.05,Houston,Germany,Sports,Customer_50,Medium,Artist,73645.48,2
2020-02-20,481.22,2031.24,Phoenix,Mexico,Clothing,Customer_51,Small,Engineer,104808.23,2
2020-02-21,277.14,500.91,Chicago,Canada,Jewelry,Customer_52,Large,Student,27627.13,2
2020-02-22,718.08,824.71,Dallas,UK,Home & Garden,Customer_53,Small,Doctor,260270.41,2
2020-02-23,957.54,6979.98,Los Angeles,Canada,Jewelry,Customer_54,Large,Teacher,56420.19,2
2020-02-24,694.06,3209.96,San Antonio,Canada,Jewelry,Customer_55,Small,Artist,33805.07,2
2020-02-25,888.06,3779.65,Houston,USA,Books,Customer_56,Medium,Doctor,181216.43,2
2020-02-26,458.49,3634.21,San Diego,Mexico,Automotive,Customer_57,Medium,Teacher,73048.7,2
2020-02-27,773.92,1067.42,San Antonio,USA,Automotive,Customer_58,Medium,Salesperson,45934.28,2
2020-02-28,844.61,5189.01,San Diego,Canada,Food & Beverage,Customer_59,Large,Salesperson,66710.54,2
2020-02-29,713.77,1705.51,Houston,USA,Toys,Customer_60,Medium,Accountant,106426.77,2
2020-03-01,512.7,6115.71,Los Angeles,Germany,Beauty,Customer_61,Medium,Doctor,170695.5,3
2020-03-02,629.61,1209.43,San Antonio,Canada,Home & Garden,Customer_62,Medium,Salesperson,74954.67,3
2020-03-03,703.5,2205.9,Dallas,Canada,Home & Garden,Customer_63,Large,Teacher,49825.26,3
2020-03-04,260.55,1722.9,Philadelphia,Germany,Toys,Customer_64,Medium,Accountant,57649.56,3
2020-03-05,811.48,5423.71,San Antonio,Canada,Electronics,Customer_65,Medium,Teacher,71775.37,3
2020-03-06,950.82,2532.79,Philadelphia,UK,Clothing,Customer_66,Small,Accountant,56927.8,3
2020-03-07,470.59,5931.03,Los Angeles,UK,Clothing,Customer_67,Large,Doctor,154276.28,3
2020-03-08,704.06,3979.63,Dallas,Mexico,Jewelry,Customer_68,Medium,Artist,71306.57,3
2020-03-09,739.66,2772.77,Phoenix,Mexico,Home & Garden,Customer_69,Medium,Manager,115041.01,3
2020-03-10,665.63,13747.99,Chicago,USA,Sports,Customer_70,Medium,Entrepreneur,487870.41,3
2020-03-11,551.64,1962.92,Houston,USA,Clothing,Customer_71,Small,Artist,78784.06,3
2020-03-12,882.83,6551.43,Houston,Germany,Automotive,Customer_72,Small,Lawyer,125606.92,3
2020-03-13,454.44,1943.04,Dallas,Germany,Sports,Customer_73,Small,Teacher,41639.13,3
2020-03-14,70.49,264.86,Phoenix,Canada,Automotive,Customer_74,Medium,Lawyer,199860.76,3
2020-03-15,846.11,1300.9,Los Angeles,Mexico,Beauty,Customer_75,Large,Artist,47059.19,3
2020-03-16,677.24,5127.79,Philadelphia,Mexico,Beauty,Customer_76,Large,Accountant,57052.7,3
2020-03-17,850.77,5837.94,San Antonio,Mexico,Home & Garden,Customer_77,Small,Entrepreneur,368385.27,3
2020-03-18,147.16,548.22,San Diego,Mexico,Jewelry,Customer_78,Medium,Entrepreneur,64028.71,3
2020-03-19,40.45,40.77,Phoenix,USA,Clothing,Customer_79,Large,Student,28052.95,3
2020-03-20,935.03,7357.56,San Diego,UK,Clothing,Customer_80,Medium,Entrepreneur,112393.64,3
2020-03-21,156.25,431.7,San Diego,Germany,Sports,Customer_81,Small,Manager,86550.54,3
2020-03-22,811.56,3714.92,Houston,Germany,Jewelry,Customer_82,Small,Entrepreneur,129052.53,3
2020-03-23,824.98,6747.95,San Antonio,Mexico,Home & Garden,Customer_83,Medium,Artist,77615.98,3
2020-03-24,711.62,976.39,Dallas,Mexico,Toys,Customer_84,Large,Student,25397.54,3
2020-03-25,139.95,88.82,San Jose,USA,Beauty,Customer_85,Large,Artist,68082.29,3
2020-03-26,670.72,2599.42,Houston,USA,Food & Beverage,Customer_86,Small,Artist,43858.1,3
2020-03-27,890.2,6278.17,Dallas,Germany,Home & Garden,Customer_87,Medium,Engineer,90268.15,3
2020-03-28,431.28,878.91,Houston,Mexico,Food & Beverage,Customer_88,Small,Student,18517.26,3
2020-03-29,419.38,1444.48,New York,Mexico,Clothing,Customer_89,Large,Artist,48838.88,3
2020-03-30,448.43,2025.33,Houston,Germany,Sports,Customer_90,Medium,Engineer,109664.59,3
2020-03-31,91.45,225.0,Los Angeles,USA,Beauty,Customer_91,Medium,Engineer,116859.74,3
2020-04-01,893.11,1087.97,Philadelphia,Germany,Beauty,Customer_92,Small,Student,18856.78,4
2020-04-02,870.49,12747.41,San Diego,USA,Home & Garden,Customer_93,Medium,Lawyer,241271.19,4
2020-04-03,997.93,5317.58,Philadelphia,USA,Automotive,Customer_94,Medium,Accountant,61883.09,4
2020-04-04,589.33,9032.82,Dallas,USA,Sports,Customer_95,Medium,Manager,195534.91,4
2020-04-05,753.68,1334.62,Philadelphia,Mexico,Books,Customer_96,Medium,Accountant,51039.93,4
2020-04-06,210.65,1268.35,San Antonio,Germany,Toys,Customer_97,Small,Entrepreneur,266506.56,4
2020-04-07,670.85,6373.28,Phoenix,USA,Home & Garden,Customer_98,Medium,Manager,113337.82,4
2020-04-08,653.24,4108.46,San Diego,UK,Books,Customer_99,Large,Entrepreneur,252105.54,4
2020-04-09,902.2,2347.4,Los Angeles,USA,Home & Garden,Customer_100,Small,Artist,54239.87,4
2020-04-10,832.48,1512.27,Los Angeles,USA,Electronics,Customer_101,Medium,Teacher,57423.57,4
2020-04-11,939.08,3746.41,San Diego,USA,Jewelry,Customer_102,Small,Student,21222.7,4
2020-04-12,870.15,3930.24,Philadelphia,Canada,Automotive,Customer_103,Large,Manager,165254.04,4
2020-04-13,870.01,10552.37,Los Angeles,UK,Beauty,Customer_104,Medium,Manager,159163.92,4
2020-04-14,73.09,192.05,Philadelphia,Mexico,Toys,Customer_105,Medium,Artist,69996.28,4
2020-04-15,847.5,7234.29,San Diego,Germany,Sports,Customer_106,Small,Lawyer,122493.03,4
2020-04-16,611.4,727.39,Philadelphia,Germany,Beauty,Customer_107,Small,Engineer,114857.57,4
2020-04-17,386.64,1400.12,Dallas,Germany,Home & Garden,Customer_108,Small,Artist,55111.69,4
2020-04-18,65.95,234.38,Philadelphia,Mexico,Electronics,Customer_109,Small,Salesperson,55881.65,4
2020-04-19,680.9,3828.16,Chicago,USA,Food & Beverage,Customer_110,Small,Engineer,103745.18,4
2020-04-20,334.92,807.53,Dallas,UK,Electronics,Customer_111,Medium,Student,19706.73,4
2020-04-21,473.1,1870.23,San Jose,Germany,Beauty,Customer_112,Small,Engineer,72766.0,4
2020-04-22,684.91,1575.31,Phoenix,Canada,Home & Garden,Customer_113,Small,Lawyer,116346.21,4
2020-04-23,912.66,4012.74,Philadelphia,Canada,Books,Customer_114,Small,Engineer,69496.23,4
2020-04-24,827.18,2904.13,Houston,UK,Home & Garden,Customer_115,Large,Student,25246.04,4
2020-04-25,456.09,2454.86,Chicago,Germany,Electronics,Customer_116,Medium,Lawyer,192323.66,4
2020-04-26,393.91,2673.91,San Jose,USA,Toys,Customer_117,Small,Accountant,116542.45,4
2020-04-27,247.38,1308.96,Phoenix,Germany,Food & Beverage,Customer_118,Medium,Manager,164858.19,4
2020-04-28,378.7,3185.31,Chicago,USA,Food & Beverage,Customer_119,Medium,Manager,76765.96,4
2020-04-29,119.94,383.91,Los Angeles,Germany,Sports,Customer_120,Small,Entrepreneur,447910.33,4
2020-04-30,971.39,1351.36,Philadelphia,Canada,Jewelry,Customer_121,Large,Accountant,110387.26,4
2020-05-01,578.18,3140.96,San Diego,Mexico,Jewelry,Customer_122,Large,Accountant,81032.42,5
2020-05-02,136.53,1623.23,Chicago,UK,Sports,Customer_123,Medium,Engineer,112727.67,5
2020-05-03,359.28,2231.27,Philadelphia,USA,Toys,Customer_124,Small,Manager,196890.18,5
2020-05-04,551.57,276.55,Dallas,Mexico,Jewelry,Customer_125,Medium,Student,22984.57,5
2020-05-05,537.56,3970.82,New York,USA,Automotive,Customer_126,Medium,Doctor,281064.37,5
2020-05-06,45.15,175.32,Chicago,UK,Beauty,Customer_127,Small,Doctor,116607.75,5
2020-05-07,951.33,10191.82,Los Angeles,Mexico,Toys,Customer_128,Large,Lawyer,112478.82,5
2020-05-08,282.62,684.54,San Diego,Mexico,Books,Customer_129,Medium,Manager,127298.14,5
2020-05-09,26.02,441.99,Dallas,UK,Toys,Customer_130,Medium,Manager,146018.39,5
2020-05-10,85.68,1067.17,San Jose,UK,Home & Garden,Customer_131,Medium,Doctor,263245.57,5
2020-05-11,584.39,6164.87,Philadelphia,USA,Home & Garden,Customer_132,Medium,Manager,198474.07,5
2020-05-12,146.41,419.74,Chicago,Mexico,Food & Beverage,Customer_133,Medium,Engineer,94996.63,5
2020-05-13,51.31,192.13,San Jose,UK,Toys,Customer_134,Small,Salesperson,33319.09,5
2020-05-14,385.83,3489.58,San Diego,USA,Automotive,Customer_135,Large,Teacher,72046.86,5
2020-05-15,626.53,1898.55,San Jose,Germany,Automotive,Customer_136,Small,Accountant,92306.65,5
2020-05-16,120.72,1047.63,San Antonio,UK,Books,Customer_137,Small,Entrepreneur,139344.29,5
2020-05-17,320.19,703.11,Los Angeles,Mexico,Home & Garden,Customer_138,Small,Lawyer,164120.84,5
2020-05-18,423.58,1719.74,San Antonio,Germany,Clothing,Customer_139,Large,Salesperson,81961.72,5
2020-05-19,167.87,1906.87,New York,UK,Electronics,Customer_140,Small,Doctor,254082.36,5
2020-05-20,511.01,3741.58,San Diego,Canada,Food & Beverage,Customer_141,Large,Accountant,84973.29,5
2020-05-21,94.36,415.6,Phoenix,Mexico,Automotive,Customer_142,Medium,Manager,109677.89,5
2020-05-22,56.05,639.42,Dallas,Mexico,Automotive,Customer_143,Medium,Entrepreneur,488184.16,5
2020-05-23,524.64,5275.98,Chicago,USA,Toys,Customer_144,Small,Manager,156237.14,5
2020-05-24,255.42,568.03,San Antonio,Canada,Food & Beverage,Customer_145,Medium,Student,21123.56,5
2020-05-25,104.42,357.56,San Diego,UK,Automotive,Customer_146,Medium,Student,19206.95,5
2020-05-26,429.67,7053.46,New York,Canada,Home & Garden,Customer_147,Medium,Entrepreneur,378996.34,5
2020-05-27,915.99,2159.05,Philadelphia,UK,Automotive,Customer_148,Small,Entrepreneur,158982.55,5
2020-05-28,726.95,4272.3,Los Angeles,USA,Toys,Customer_149,Small,Doctor,134342.0,5
2020-05-29,817.46,6978.52,San Diego,Germany,Food & Beverage,Customer_150,Large,Entrepreneur,288425.25,5
2020-05-30,873.19,1983.9,Philadelphia,Canada,Jewelry,Customer_151,Medium,Engineer,86098.87,5
2020-05-31,972.9,1898.77,Chicago,Mexico,Food & Beverage,Customer_152,Small,Manager,151757.67,5
2020-06-01,765.61,678.48,Houston,UK,Automotive,Customer_153,Medium,Salesperson,38255.71,6
2020-06-02,612.32,2609.76,San Antonio,Canada,Sports,Customer_154,Small,Artist,59296.47,6
2020-06-03,371.77,3912.79,Dallas,UK,Clothing,Customer_155,Large,Entrepreneur,177483.44,6
2020-06-04,189.83,1014.39,San Jose,Canada,Automotive,Customer_156,Large,Lawyer,80041.3,6
2020-06-05,689.79,1076.15,Los Angeles,Mexico,Electronics,Customer_157,Small,Student,16904.04,6
2020-06-06,995.0,3421.01,Dallas,UK,Clothing,Customer_158,Medium,Engineer,144025.38,6
2020-06-07,472.69,3669.22,Philadelphia,UK,Sports,Customer_159,Large,Accountant,110714.82,6
2020-06-08,726.44,1710.23,Los Angeles,Germany,Home & Garden,Customer_160,Small,Artist,34016.54,6
2020-06-09,500.14,5142.05,San Diego,USA,Clothing,Customer_161,Large,Salesperson,84486.03,6
2020-06-10,437.61,1916.29,Houston,Canada,Home & Garden,Customer_162,Small,Artist,56514.3,6
2020-06-11,416.2,1171.18,San Diego,Mexico,Food & Beverage,Customer_163,Large,Entrepreneur,486907.12,6
2020-06-12,509.58,3861.75,San Antonio,Germany,Sports,Customer_164,Small,Doctor,174721.13,6
2020-06-13,373.23,249.88,San Antonio,Germany,Home & Garden,Customer_165,Large,Student,25221.91,6
2020-06-14,751.29,3098.38,San Antonio,USA,Clothing,Customer_166,Large,Student,15953.04,6
2020-06-15,875.53,5091.01,Los Angeles,Mexico,Clothing,Customer_167,Small,Accountant,77737.31,6
2020-06-16,884.06,9212.19,San Diego,Canada,Electronics,Customer_168,Large,Doctor,292763.53,6
2020-06-17,235.42,531.62,Los Angeles,UK,Jewelry,Customer_169,Small,Manager,140067.51,6
2020-06-18,896.95,877.3,Chicago,USA,Toys,Customer_170,Large,Teacher,51515.18,6
2020-06-19,348.14,702.91,San Jose,UK,Toys,Customer_171,Large,Engineer,70824.39,6
2020-06-20,316.21,607.21,San Antonio,Germany,Home & Garden,Customer_172,Small,Student,25552.93,6
2020-06-21,729.49,8328.93,San Antonio,UK,Beauty,Customer_173,Large,Lawyer,189625.53,6
2020-06-22,311.65,1455.44,San Antonio,Canada,Home & Garden,Customer_174,Large,Student,20609.08,6
2020-06-23,62.44,291.17,Houston,Canada,Books,Customer_175,Small,Artist,77056.48,6
2020-06-24,379.88,205.33,Phoenix,UK,Jewelry,Customer_176,Medium,Student,15333.04,6
2020-06-25,724.25,2120.9,San Antonio,UK,Beauty,Customer_177,Small,Student,19555.86,6
2020-06-26,333.69,2323.79,San Diego,USA,Electronics,Customer_178,Medium,Teacher,76842.78,6
2020-06-27,633.26,2508.5,Chicago,Canada,Clothing,Customer_179,Large,Teacher,52837.42,6
2020-06-28,663.52,3138.69,Philadelphia,UK,Electronics,Customer_180,Medium,Salesperson,47657.7,6
2020-06-29,736.4,4576.46,Dallas,Mexico,Food & Beverage,Customer_181,Medium,Manager,139448.65,6
2020-06-30,898.16,7137.14,San Jose,USA,Electronics,Customer_182,Small,Lawyer,220046.3,6
2020-07-01,438.24,1584.01,Phoenix,USA,Electronics,Customer_183,Medium,Student,16547.2,7
2020-07-02,174.77,775.41,Houston,USA,Toys,Customer_184,Medium,Student,29145.31,7
2020-07-03,325.74,1366.85,Dallas,USA,Toys,Customer_185,Large,Engineer,131556.56,7
2020-07-04,437.85,474.29,Houston,UK,Sports,Customer_186,Small,Teacher,47250.01,7
2020-07-05,716.75,1624.23,Chicago,Germany,Home & Garden,Customer_187,Small,Lawyer,201041.35,7
2020-07-06,22.99,252.01,San Antonio,Mexico,Automotive,Customer_188,Medium,Accountant,76947.11,7
2020-07-07,322.63,983.54,Phoenix,Germany,Books,Customer_189,Large,Salesperson,58160.63,7
2020-07-08,782.04,3106.5,New York,Germany,Electronics,Customer_190,Small,Manager,171827.71,7
2020-07-09,674.15,1871.71,San Diego,UK,Electronics,Customer_191,Large,Doctor,292556.96,7
2020-07-10,734.42,1765.2,New York,USA,Sports,Customer_192,Medium,Manager,86465.26,7
2020-07-11,813.69,4137.52,Dallas,USA,Books,Customer_193,Medium,Artist,45237.81,7
2020-07-12,785.4,1757.16,New York,UK,Books,Customer_194,Small,Student,22214.12,7
2020-07-13,685.36,1726.49,Houston,UK,Clothing,Customer_195,Medium,Salesperson,56341.83,7
2020-07-14,445.26,1285.53,San Jose,Canada,Beauty,Customer_196,Large,Artist,41791.35,7
2020-07-15,983.76,8957.2,Houston,USA,Toys,Customer_197,Large,Lawyer,88885.67,7
2020-07-16,573.38,1794.12,Dallas,Mexico,Food & Beverage,Customer_198,Medium,Doctor,237107.72,7
2020-07-17,210.74,434.87,New York,Canada,Clothing,Customer_199,Medium,Teacher,57448.58,7
2020-07-18,299.88,1485.08,San Jose,Germany,Electronics,Customer_200,Large,Salesperson,43635.57,7
2020-07-19,696.63,3759.92,Dallas,USA,Automotive,Customer_201,Medium,Salesperson,87122.35,7
2020-07-20,925.49,550.68,Houston,UK,Jewelry,Customer_202,Medium,Student,27038.41,7
2020-07-21,186.93,406.85,San Antonio,UK,Home & Garden,Customer_203,Medium,Entrepreneur,268876.23,7
2020-07-22,91.52,147.19,Dallas,UK,Beauty,Customer_204,Large,Salesperson,50891.55,7
2020-07-23,882.72,6052.03,San Antonio,USA,Beauty,Customer_205,Medium,Engineer,117428.35,7
2020-07-24,916.13,6754.14,Los Angeles,Mexico,Home & Garden,Customer_206,Large,Doctor,157630.43,7
2020-07-25,283.62,318.77,Philadelphia,UK,Jewelry,Customer_207,Small,Doctor,147201.59,7
2020-07-26,383.51,1023.0,Philadelphia,USA,Books,Customer_208,Medium,Engineer,125746.32,7
2020-07-27,663.59,2751.67,Chicago,Germany,Sports,Customer_209,Medium,Accountant,52822.77,7
2020-07-28,336.63,880.73,Houston,Canada,Toys,Customer_210,Medium,Engineer,68529.16,7
2020-07-29,878.39,4994.87,Philadelphia,USA,Jewelry,Customer_211,Small,Engineer,60610.94,7
2020-07-30,116.5,456.1,Philadelphia,USA,Home & Garden,Customer_212,Medium,Doctor,130588.64,7
2020-07-31,47.6,9.0,New York,UK,Electronics,Customer_213,Large,Manager,78968.7,7
2020-08-01,216.4,1554.2,San Jose,Canada,Food & Beverage,Customer_214,Medium,Doctor,299160.47,8
2020-08-02,293.23,3413.5,San Diego,Canada,Sports,Customer_215,Large,Entrepreneur,179964.49,8
2020-08-03,121.8,213.81,Dallas,UK,Clothing,Customer_216,Large,Student,17239.02,8
2020-08-04,75.03,300.18,Los Angeles,Mexico,Beauty,Customer_217,Large,Artist,34459.78,8
2020-08-05,758.05,5075.22,Houston,USA,Automotive,Customer_218,Large,Manager,191696.32,8
2020-08-06,172.63,634.66,Philadelphia,UK,Jewelry,Customer_219,Large,Teacher,60806.41,8
2020-08-07,914.78,434.36,Los Angeles,Mexico,Food & Beverage,Customer_220,Medium,Artist,41889.09,8
2020-08-08,374.32,865.3,San Antonio,UK,Beauty,Customer_221,Medium,Student,28100.87,8
2020-08-09,673.9,1270.28,Philadelphia,Germany,Jewelry,Customer_222,Medium,Entrepreneur,227745.62,8
2020-08-10,233.15,726.43,San Diego,Mexico,Clothing,Customer_223,Large,Entrepreneur,200753.86,8
2020-08-11,247.92,1060.21,San Antonio,Mexico,Books,Customer_224,Small,Teacher,48291.3,8
2020-08-12,578.96,3278.06,San Jose,Canada,Beauty,Customer_225,Medium,Manager,119113.59,8
2020-08-13,565.04,3590.66,New York,USA,Toys,Customer_226,Medium,Accountant,72167.9,8
2020-08-14,771.04,809.58,San Jose,UK,Clothing,Customer_227,Medium,Engineer,120957.36,8
2020-08-15,760.24,2903.52,San Jose,UK,Toys,Customer_228,Large,Manager,107645.75,8
2020-08-16,673.98,4719.76,Phoenix,USA,Sports,Customer_229,Medium,Accountant,90403.98,8
2020-08-17,454.64,1848.74,Philadelphia,USA,Jewelry,Customer_230,Large,Entrepreneur,79651.47,8
2020-08-18,891.73,2726.98,San Antonio,Canada,Sports,Customer_231,Medium,Doctor,138257.83,8
2020-08-19,626.35,1271.01,Houston,USA,Sports,Customer_232,Medium,Student,21111.08,8
2020-08-20,990.3,3768.17,Dallas,Germany,Clothing,Customer_233,Large,Teacher,77477.97,8
2020-08-21,821.18,3454.63,New York,Canada,Toys,Customer_234,Large,Student,20658.78,8
2020-08-22,53.87,201.25,Chicago,Mexico,Food & Beverage,Customer_235,Medium,Lawyer,192892.6,8
2020-08-23,327.39,3649.98,San Jose,USA,Beauty,Customer_236,Large,Lawyer,123364.83,8
2020-08-24,576.16,4043.2,Los Angeles,Mexico,Sports,Customer_237,Large,Manager,86514.36,8
2020-08-25,724.25,2816.34,Los Angeles,Canada,Sports,Customer_238,Large,Entrepreneur,76341.47,8
2020-08-26,554.83,4016.18,New York,Germany,Beauty,Customer_239,Small,Entrepreneur,187436.07,8
2020-08-27,788.27,4354.08,Chicago,Germany,Toys,Customer_240,Large,Engineer,74189.49,8
2020-08-28,289.83,2400.28,San Jose,USA,Food & Beverage,Customer_241,Large,Engineer,75660.94,8
2020-08-29,192.07,1113.26,Phoenix,Germany,Home & Garden,Customer_242,Small,Engineer,128468.34,8
2020-08-30,63.38,117.36,Philadelphia,UK,Home & Garden,Customer_243,Large,Doctor,103167.61,8
2020-08-31,577.58,2370.71,San Diego,Canada,Electronics,Customer_244,Small,Artist,53468.61,8
2020-09-01,691.71,1765.12,Houston,Germany,Sports,Customer_245,Medium,Salesperson,56562.3,9
2020-09-02,332.89,1197.8,New York,Canada,Clothing,Customer_246,Medium,Artist,50393.0,9
2020-09-03,617.45,808.7,Dallas,Canada,Sports,Customer_247,Medium,Student,23442.45,9
2020-09-04,61.64,287.82,Chicago,UK,Sports,Customer_248,Large,Artist,38802.06,9
2020-09-05,108.3,105.19,San Diego,USA,Home & Garden,Customer_249,Small,Doctor,159021.77,9
2020-09-06,704.74,1171.26,Houston,Canada,Jewelry,Customer_250,Medium,Student,26001.03,9
2020-09-07,374.39,1624.72,Chicago,UK,Beauty,Customer_251,Large,Artist,72276.62,9
2020-09-08,674.62,1555.12,Chicago,Germany,Sports,Customer_252,Medium,Doctor,138516.33,9
2020-09-09,833.4,2396.95,Houston,Mexico,Toys,Customer_253,Medium,Salesperson,36833.31,9
2020-09-10,854.1,5095.69,Houston,USA,Electronics,Customer_254,Medium,Artist,73867.75,9
2020-09-11,180.45,551.25,San Antonio,Mexico,Sports,Customer_255,Large,Doctor,169979.09,9
2020-09-12,491.42,1797.65,Los Angeles,UK,Beauty,Customer_256,Small,Engineer,109618.57,9
2020-09-13,736.59,4167.01,San Diego,Canada,Toys,Customer_257,Small,Entrepreneur,211794.42,9
2020-09-14,776.24,2721.82,Los Angeles,UK,Beauty,Customer_258,Small,Engineer,71322.21,9
2020-09-15,786.83,6721.4,New York,USA,Home & Garden,Customer_259,Small,Entrepreneur,315199.24,9
2020-09-16,235.89,969.32,San Diego,USA,Clothing,Customer_260,Large,Teacher,61005.63,9
2020-09-17,200.61,407.24,Houston,Germany,Beauty,Customer_261,Large,Teacher,48119.74,9
2020-09-18,594.11,3611.94,Philadelphia,UK,Home & Garden,Customer_262,Large,Teacher,58074.76,9
2020-09-19,743.67,3048.28,New York,USA,Clothing,Customer_263,Medium,Salesperson,85786.33,9
2020-09-20,325.95,857.11,Chicago,UK,Electronics,Customer_264,Small,Engineer,113138.35,9
2020-09-21,113.66,845.25,San Antonio,Germany,Clothing,Customer_265,Large,Entrepreneur,93612.8,9
2020-09-22,719.58,1778.61,San Antonio,Germany,Sports,Customer_266,Medium,Doctor,209604.3,9
2020-09-23,306.7,254.37,San Diego,UK,Books,Customer_267,Medium,Student,25541.07,9
2020-09-24,174.7,1998.24,Los Angeles,USA,Toys,Customer_268,Medium,Doctor,258540.68,9
